marido	esposa
niña	niño
rey	reyna
papa	mama
efectivo	dinero
mujer	hombre
marco	cuadro
casa	hogar
madre	padre
perro	gato
plasma	sangre
arena	playa
esfera	mundo
sal	pimienta
hermana	hermano
medico	doctor
hembra	macho
avenida	calle
infantil	bebé
cine	pelicula
plata	oro
cachorro	perro
hija	hijo
circulo	cuadro
gorra	sombrero
cama	dormir
bosque	arbol
hoja	arbol
pierna	brazo
combustible	gasolina
armada	ejército
foto	imagen
acre	tierra
vuelo	avión
ciudad	pueblo
paraguas	lluvia
silla	mesa
pino	arbol
barro	tierra
planeta	tierra
barco	bote
bala	pistola
avión a reacción	avión
arma 	pistola
profesor	maestra
asiento	silla
carne	piel
petirrojo	pajaro
zologico	animal
 bolígrafo	lápiz
diamante	anillo
pancarta	bandera
chico	niño
enfermedad	enfermo
bajo	alto
rama	arbol
oscuro	luz
persona	gente
carretera	calle
basura	desperdicios
nido	pajaro
articulo	periódico
princesa	principe
verano	invierno
estupido	tonto
dedos	manos
instructor	maestro
blusa	camisa
adulto	niño
cielo	azul
flecha	arco
mar	océano
lodo	tierra
camara	foto
 té	café
roca	piedra
cerdo	puerco
infeliz	triste
navegacion	bote
brisa	viento
oxigeno	aire
donante	sangre
manos	pies
chef	cocinero
toro	vaca 
grueso	fino
inteligente	listo
esqueleto	hueso
gato	raton
taxi	coche
rifle	pistola
centavos	dolares
guardian	padre
delgado 	gordo
doctor	enfermera
pasos	escaleras
entrada	salida
construir	edificar
suelto	apretado
entrar	salir
ecuación	matemáticas
limpio	sucio
sentarse	parase
imprimir	escribir
limon	lima
chiste	reir
mantequilla	pan 
muelle	bote
ferrocarril	tren
sobre	carta
juez	corte
cigarrillo	fumar
cepillo	pelo
votacion	votar
 sábanas	cama
policía	poli
cantar	cancion
 césped	verde
autor	escritor
vaca	leche
tienda	campamento
mojado	seco
soda	refresco
florecer	flor
comprar	tienda
montaña	cerro
hielo	frio
rebotar	pelota
lirio	flor
eslabón	cadena
lentes	gafas
campana	tañido
posada	hotel
empujar	jalar
tren	via
zapatos	pies
bar 	cerveza
temor	miedo
cirujano	doctor
moneda de diez centavos	moneda de cinco centavos
atomica	bomba
camioneta	carro 
zapatos	 calcetín 
universidad	colegio
robar	hurtar
semilla	plantar
aldea	pueblo
cerebro	cabeza
cabaña	leño
dedo	mano 
azucar	dulce
insecto	bicho
redondo	cuadrado
sonido	ruido
atlas	mapa
halcón	pajaro
dolar	dinero
rata	raton
yate	bote
aguila	pajaro
carcel	prision
alas	pajaro
patron	jefe
duna	arena
hogaza	pan
pelar	naranja
olor	oler
abdomen	estómago
codo	brazo
gripe	enfermo
futbol	pelota
crucero	barco
muslo	pierna
cervo	pajaro
manada	vaca 
rosa	flor
coredor	pasillo
reir	llorar
montar	caballo
ruidoso	alto
autopista	carretera
nicotina	cigarrillo
tina	bañera
arteria	vena
mezclilla	pantalones
onza	libra
sobrio	ebrio
lesion	lastimar
naranja	jugo
estudiante	maestro
ganado	vaca
pasto	césped
propiedad	tierra
esquiar	nieve
ventana	vidrio
lengua	boca
dentista	dientes
estacion	tren
bestia	animal
rostizar	res
monasterio	monje
bebida	beber
jardin	flor
platillo	plato
simio	mono
arroyo	rio
sabor	gusto
cardenal	pajaro
jurado	juez
veloz	rapido
sello	carta
llave	candado
leon	tigre
labios	beso
gerente	jefe
tapete	alfombra
saco	bolsa
viaje	vacaciones
caballero	armadura
identico	gemelo
loco	enojado
luna	sol
centro comercial	compras
estadio	futbol americano
puro	fumar
ballet	bailar
pipa	fumar
amanecer	atardecer
pistola	disparar
salto	brincar
triangulo	cuadro
cielo raso	techo
enemigo	amigo
ceremonio	boda
escoba	barrer
acero	metal
dulce	agrio
tormenta	lluvia
maleza	cesped
pulgada	pie
carie	diente 
tela	trapo
cienaga	pantano
tararear	cantar
eternidad	siempre
estanque	lago
correo	carta
rodilla	pierna
alarma	reloj
poquer	carta
manga	camisa
sinfonia	orquesta
dama	mujer
centavo 	penique
clima	tiempo
nariz	cara
amargo	dulce
tallo	flor
tronco	madera
camisa	pantalones
mayordomo	sirvienta
aspero	liso
arroyo	corriente
centro comercial	compras
arrecife	coral
velocidad	rapidez
