word1	word2	easiness
house	picture	11.988
woman	money	10.842
dark	people	10.229
person	light	10.219
cash	man	9.973
girl	head	9.909
police	bed	9.598
village	wife	9.459
rat	money	9.404
frame	boy	9.366
female	street	9.364
husband	home	9.102
mother	cat	9.083
film	baby	8.997
city	rain	8.991
brain	town	8.677
dog	father	8.672
salt	world	8.579
king	mom	8.366
rock	coffee	8.359
short	tree	8.246
sand	blood	8.038
ice	ball	8.019
key	letter	7.915
shoes	college	7.77
alcohol	forest	7.767
daughter	square	7.69
infant	movie	7.661
author	track	7.654
seat	teacher	7.611
shoes	milk	7.561
train	feet	7.553
dad	queen	7.414
dollar	mouse	7.345
article	bird	7.298
trash	tree	7.279
chair	street	7.272
photo	army	7.242
sound	square	7.229
sister	doctor	7.182
professor	chair	7.138
property	snow	7.103
mountain	store	7.042
flight	skin	7.022
robin	finger	6.917
radio	land	6.855
circle	son	6.81
bed	hat	6.801
leg	tree	6.786
tea	stone	6.781
baseball	pants	6.768
pine	table	6.767
station	boat	6.729
spring	meat	6.719
minister	pants	6.587
student	juice	6.535
sky	child	6.521
log	bomb	6.519
truck	pants	6.493
woods	beer	6.482
fuel	tree	6.469
meal	material	6.432
cabin	hand	6.416
judge	smoke	6.403
shop	hill	6.382
hands	sleep	6.374
teeth	fish	6.327
cap	cook	6.286
mail	leg	6.268
avenue	male	6.258
physician	brother	6.186
van	chair	6.178
window	mouth	6.168
orange	teacher	6.163
plasma	beach	6.152
tongue	glass	6.109
desk	truck	6.104
forest	arm	6.1
navy	picture	6.091
mud	picture	6.083
garden	plate	6.073
push	hotel	6.035
bird	milk	6.03
cents	gun	6.027
finger	log	6.013
cigarette	court	6.012
tobacco	chocolate	5.975
jail	boss	5.969
beef	summer	5.968
employer	prison	5.959
employee	sugar	5.952
silver	dog	5.951
shirt	wood	5.928
road	stick	5.921
cereal	tree	5.896
flag	garbage	5.89
tool	dress	5.871
planet	gun	5.86
ball	cake	5.856
ballot	hair	5.803
knee	letter	5.803
umbrella	boat	5.793
steel	town	5.768
station	teeth	5.768
adult	blue	5.741
laugh	hall	5.741
university	socks	5.73
trip	art	5.728
organ	bag	5.718
breeze	blood	5.717
rain	fruit	5.679
pool	coat	5.676
grass	song	5.632
candy	date	5.611
summer	prince	5.609
butter	boat	5.609
jet	child	5.608
illness	gun	5.542
cat	write	5.539
sit	boat	5.526
motor	spot	5.522
soil	cab	5.519
cow	writer	5.441
rose	cow	5.431
taxi	mouse	5.423
cruise	ball	5.402
ski	land	5.383
pie	chair	5.381
stupid	hands	5.365
gentleman	army	5.312
curve	fish	5.304
princess	winter	5.303
oxygen	boat	5.263
mall	bread	5.261
fruit	football	5.238
ceiling	square	5.229
sweet	rain	5.214
sea	bow	5.21
gun	feet	5.206
chef	jump	5.176
bell	glasses	5.164
paragraph	stone	5.145
bullet	earth	5.139
climate	face	5.057
pot	apple	5.039
sugar	bug	5.038
weapon	plane	5.007
rifle	dollars	4.981
nose	weather	4.969
divorce	bar	4.967
launch	door	4.941
cent	woman	4.909
sail	air	4.901
jury	fast	4.892
railroad	letter	4.866
science	candy	4.854
manager	carpet	4.846
wet	camp	4.838
beautiful	butter	4.83
doctor	stairs	4.813
foot	dinner	4.799
chip	bomb	4.786
cereal	football	4.77
ranch	shoes	4.726
envelope	train	4.717
debt	arm	4.706
flesh	sick	4.703
maid	truck	4.697
kid	bird	4.689
earthquake	tea	4.687
atom	car	4.68
smart	wine	4.652
vegetables	shirt	4.644
holiday	eye	4.641
kiss	garden	4.626
mosquito	shirt	4.621
sing	green	4.62
cloth	dinner	4.611
belly	fish	4.581
poet	neck	4.564
grass	pepper	4.556
gate	flower	4.553
cattle	globe	4.537
round	noise	4.523
link	cow	4.509
leaf	gas	4.506
highway	cigarette	4.495
palace	diamond	4.483
tools	shower	4.475
throat	newspaper	4.472
nest	writer	4.467
nicotine	road	4.466
choir	tree	4.462
puppy	gold	4.453
nun	tree	4.449
camera	dirt	4.447
string	ring	4.434
pen	animal	4.424
eagle	boat	4.408
molecule	hear	4.399
core	pan	4.39
lady	penny	4.384
fishing	heavy	4.348
mall	stream	4.312
couch	apple	4.293
steps	nurse	4.284
instructor	shirt	4.281
dust	bird	4.278
sky	catch	4.274
arrow	ocean	4.26
diamond	flag	4.259
ape	river	4.249
lips	tiger	4.235
lunch	shoe	4.223
turtle	mountain	4.221
dish	flower	4.216
hurricane	desert	4.207
print	stand	4.202
drawing	piano	4.197
ceiling	farm	4.189
lawn	knife	4.169
bug	cow	4.167
mad	sun	4.158
soldier	lady	4.139
ceremony	friend	4.113
knife	moon	4.106
vision	wedding	4.099
enemy	mouth	4.089
dollar	tall	4.076
wings	sand	4.067
calendar	sweet	4.041
belt	priest	4.032
soccer	ship	4.012
trail	finger	3.998
enemy	eggs	3.964
toast	card	3.945
alarm	apple	3.935
stadium	orange	3.935
tomb	bread	3.933
steak	shopping	3.93
honey	dirt	3.919
ship	mouth	3.901
beast	ship	3.9
thin	snake	3.894
crops	parent	3.847
airplane	beef	3.843
grove	meat	3.832
sheets	cop	3.826
lip	shirt	3.822
lens	ring	3.821
stream	monkey	3.817
velvet	hit	3.816
dentist	train	3.81
tennis	sheep	3.802
launch	rain	3.801
ham	ticket	3.794
statue	toilet	3.792
sport	breakfast	3.736
afraid	beer	3.735
cry	knife	3.725
seafood	wedding	3.723
pollution	bread	3.721
guardian	fat	3.717
branch	tall	3.693
banner	ring	3.665
height	wood	3.658
sheep	hole	3.651
orange	wet	3.642
acre	airplane	3.64
seafood	drink	3.628
pearl	milk	3.619
climb	sand	3.606
blade	floor	3.604
foot	jacket	3.594
lily	chain	3.591
entrance	build	3.585
hide	pan	3.571
rob	plant	3.55
fat	grass	3.523
inch	treat	3.513
blouse	snow	3.505
sword	teacher	3.499
laundry	movement	3.495
artery	bath	3.495
shorts	fruit	3.491
pop	flower	3.464
rum	crowd	3.464
quiet	orange	3.446
curtain	beef	3.444
visitor	teeth	3.432
