man	11.11	cat	9.333	10.2215
home	9.514	book	10.119	9.8165
kid	9.22	hand	10.219	9.7195
get	9.793	bed	9.6	9.6965
table	8.683	hand	10.219	9.451
arm	9.375	home	9.514	9.4445
child	8.608	go	10.275	9.4415
day	10.181	woman	8.655	9.418
new	8.784	bed	9.6	9.192
dog	9.958	night	8.341	9.1495
read	8.051	house	10.185	9.118
water	10.077	black	7.982	9.0295
toy	8.234	head	9.755	8.9945
cat	9.333	child	8.608	8.9705
take	8.296	bed	9.6	8.948
family	8.8	leg	9.055	8.9275
ball	9.056	paper	8.716	8.886
bed	9.6	mouse	8.17	8.885
sign	8.121	food	9.468	8.7945
wall	9.029	milk	8.484	8.7565
face	9.329	mouse	8.17	8.7495
room	8.801	woman	8.655	8.728
fire	9.215	year	8.213	8.714
ice	8.736	child	8.608	8.672
head	9.755	test	7.548	8.6515
leg	9.055	old	8.234	8.6445
film	7.179	water	10.077	8.628
eat	9.135	call	8.067	8.601
lake	7.825	face	9.329	8.577
father	7.816	movie	9.326	8.571
boat	8.397	paper	8.716	8.5565
school	8.83	bird	8.233	8.5315
key	9.437	cake	7.614	8.5255
bear	8.902	step	8.109	8.5055
rain	8.267	more	8.727	8.497
mother	8.897	game	8.062	8.4795
air	8.911	stick	7.998	8.4545
food	9.468	stone	7.431	8.4495
girl	9.044	sleep	7.816	8.43
boy	9.645	floor	7.203	8.424
shirt	7.788	ball	9.056	8.422
car	10.442	cage	6.38	8.411
cry	7.752	ball	9.056	8.404
sit	8.485	rain	8.267	8.376
farm	7.446	door	9.26	8.353
tape	7.578	sun	9.075	8.3265
sun	9.075	job	7.575	8.325
star	8.816	pig	7.757	8.2865
play	8.754	father	7.816	8.285
watch	7.996	shoe	8.563	8.2795
foot	8.732	city	7.701	8.2165
park	8.344	sea	8.065	8.2045
eye	9.686	low	6.682	8.184
tree	8.947	first	7.345	8.146
gift	7.06	fire	9.215	8.1375
page	8.193	game	8.062	8.1275
money	8.313	end	7.912	8.1125
rock	9.114	meal	7.108	8.111
block	7.254	tree	8.947	8.1005
age	7.849	night	8.341	8.095
plant	8.397	bell	7.763	8.08
road	8.218	dress	7.891	8.0545
plate	7.72	hat	8.326	8.023
white	7.88	walk	8.127	8.0035
card	6.836	rock	9.114	7.975
test	7.548	egg	8.358	7.953
coat	7.632	nose	8.206	7.919
library	6.103	eye	9.686	7.8945
animal	8.508	cold	7.256	7.882
bank	6.897	hair	8.858	7.8775
movie	9.326	dirt	6.361	7.8435
pick	7.259	boat	8.397	7.828
snow	7.904	chair	7.724	7.814
town	8.047	wet	7.501	7.774
van	7.308	bag	8.232	7.77
high	7.475	read	8.051	7.763
wind	7.9	ring	7.594	7.747
write	7.553	snow	7.904	7.7285
gas	7.26	bin	8.197	7.7285
ring	7.594	cow	7.86	7.727
sleep	7.816	coat	7.632	7.724
egg	8.358	bottle	6.992	7.675
state	7.102	page	8.193	7.6475
paper	8.716	love	6.579	7.6475
web	7.897	okay	7.387	7.642
hat	8.326	knee	6.926	7.626
hair	8.858	hide	6.381	7.6195
stay	6.629	baby	8.577	7.603
band	6.901	fish	8.293	7.597
cake	7.614	job	7.575	7.5945
hear	7.92	block	7.254	7.587
rat	8.209	smile	6.925	7.567
short	6.1	wall	9.029	7.5645
lie	7.394	pet	7.69	7.542
door	9.26	swim	5.8	7.53
radio	7.095	pie	7.947	7.521
cow	7.86	die	7.179	7.5195
step	8.109	open	6.909	7.509
talk	8.583	queen	6.43	7.5065
wet	7.501	number	7.487	7.494
fly	8.832	tongue	6.143	7.4875
turn	7.583	okay	7.387	7.485
lawn	6.088	hair	8.858	7.473
good	8.33	sink	6.616	7.473
long	7.891	cash	7.038	7.4645
rug	6.092	fly	8.832	7.462
bar	6.822	line	8.075	7.4485
hold	7.394	week	7.462	7.428
mouse	8.17	knife	6.668	7.419
grass	6.906	hear	7.92	7.413
floor	7.203	drink	7.618	7.4105
art	6.766	town	8.047	7.4065
mail	7.399	jump	7.379	7.389
last	7.558	river	7.217	7.3875
gun	8.042	bone	6.703	7.3725
hill	8.645	short	6.1	7.3725
bad	8.248	record	6.471	7.3595
sister	7.48	letter	7.177	7.3285
sky	7.374	many	7.28	7.327
sea	8.065	fork	6.568	7.3165
garden	6.48	sign	8.121	7.3005
city	7.701	tiger	6.878	7.2895
phone	8.324	hurt	6.247	7.2855
nose	8.206	jacket	6.363	7.2845
banana	6.056	look	8.48	7.268
pet	7.69	smoke	6.835	7.2625
sink	6.616	snow	7.904	7.26
mud	6.779	chair	7.724	7.2515
world	8.111	hide	6.381	7.246
net	6.536	music	7.925	7.2305
bird	8.233	tent	6.218	7.2255
report	6.154	bag	8.232	7.193
worse	5.805	baby	8.577	7.191
fight	6.255	sign	8.121	7.188
hop	7.173	letter	7.177	7.175
sock	6.874	show	7.467	7.1705
toast	5.489	room	8.801	7.145
suit	5.99	fish	8.293	7.1415
tooth	7.216	bowl	7.053	7.1345
bush	8.546	inch	5.713	7.1295
work	7.858	moon	6.398	7.128
sheep	6.139	try	8.091	7.115
kick	6.87	truck	7.336	7.103
river	7.217	doll	6.965	7.091
rabbit	6.906	kind	7.249	7.0775
mouth	7.145	team	6.999	7.072
sheet	6.082	gun	8.042	7.062
move	7.46	wolf	6.661	7.0605
leaf	6.194	street	7.902	7.048
desk	6.158	cut	7.918	7.038
pie	7.947	lock	6.104	7.0255
tomato	6.279	beach	7.767	7.023
shape	6.126	street	7.902	7.014
sugar	7.197	bar	6.822	7.0095
count	7.017	wash	6.985	7.001
cover	7.007	wash	6.985	6.996
bubble	5.637	phone	8.324	6.9805
throw	6.353	pants	7.596	6.9745
less	6.971	toe	6.967	6.969
heart	7.676	candy	6.242	6.959
friend	7.609	hole	6.308	6.9585
thumb	6.184	chair	7.724	6.954
drop	6.807	dollar	7.096	6.9515
knife	6.668	brother	7.23	6.949
far	6.898	team	6.999	6.9485
week	7.462	burn	6.433	6.9475
pig	7.757	student	6.127	6.942
chair	7.724	area	6.15	6.937
note	7.307	coffee	6.525	6.916
walk	8.127	blanket	5.696	6.9115
clown	6.173	hard	7.599	6.886
tower	5.858	wind	7.9	6.879
ear	8.52	tax	5.237	6.8785
fan	7.542	uncle	6.206	6.874
drink	7.618	bridge	6.11	6.864
whole	4.816	air	8.911	6.8635
tea	7.1	roof	6.585	6.8425
frost	4.823	room	8.801	6.812
