casa	photo
mujer	dinero
oscuro	gente
persona	luz
efectivo	hombre
niña	cabeza
policia	cama
aldea	esposa
rata	dinero
marco	niño
hembra	calle
esposo	hogar
madre	gato
película	bebe
ciudad	lluvia
cerebro	pueblo
perro	padre
sal	mundo
rey	mama
piedra	café
corto	arbol
arena	sangre
hielo	pelota
llave	carta
zapatos	colegio
alcohol	bosque
hija	cuadro
infante	película
autor	pista
asiento	maestro
zapatos	leche
tren	pies
papá 	reyna
dolar	ratón
articulo	pajaro
basura	arbol
silla	calle
foto	ejército
sonido	cuadro
hermana	doctor
profesor	silla
propiedad	nieve
montaña	tienda
vuelo	piel
petirrojo	dedo
radio	tierra
circulo	hijo
cama	sobrero
pierna	arbol
té	piedra
béisbol 	pantalones
pino	mesa
estación	barco
primavera	carne
ministro	pantalones
estudiante	jugo
cielo	niño
leño	bomba
camioneta	pantalones
bosque	cerveza
combustible	arbol
comida	material
cabaña	mano
juez	humo
tienda	colina
manos	dormir
dientes	pescado
tapa	cocinero
correro	pierna
avenida	 varón
médico	hermano
furgoneta	silla
ventana	boca
naranja	maestro
plasma	playa
lengua	vidrio
escritorio	camioneta
bosque	brazo
marina	dibujo
lodo	dibujo
jardín	plato
empujar	hotel
pajaro	leche
centavos	pistola
dedo	leña
cigarrillo	tribunal
tabaco	chocolate
cárcel	jefe
res	verano
empleador	prisión 
empleado	azucar
plata	perro
camisa	madera
carretera	palo
cereal	arbol
bandera	basura
herramienta	vestido
planeta	pistola
pelota	pastel
votación 	pelo 
rodilla	carta
paraguas	barco
acero	pueblo
estación	dientes
adulto	azul
 reír	pasillo
universidad	 calcetín
viaje	arte
órgano	bolsas
brisa	sangre
lluvia	fruta
 piscina	abrigo
césped	canción
caramelos	fecha
verano	príncipe 
mantequilla	barco
 avión a reacción	niño
enfermedad	pistola
gato	escribir
sentarse	barco
motor	mancha
tierra	taxi
vaca	escritor
rosa	vaca 
taxi	ratón
crucero	pelota
esquí	tierra
tarta	silla
 estúpido	manos
caballero	 ejército
curva	pescado
princesa	invierno
 oxígeno	barco
centro comercial	pan
fruta	fútbol 
cielo raso	cuadro
dulce	lluvia
marina	inclinarse
pistola	pies
chef	brincar
campana	gafas
 párrafo	piedra
bala	tierra
clima	cara
maceta	manzana
azucar	bicho
arma	 avión 
rifle	dolares
nariz	tiempo
divorcio	cantina
lanzar	puerta
centavo 	mujer
navegar	aire
jurado	veloz
 ferrocarril	carta
ciencia	caramelos
gerente	alfombra
mojado	campamento
hermoso	mantequilla
doctor	escaleras
pie 	cena
astilla	bomba
cereal	fútbol
rancho	zapatos
sobre	tren
deuda	brazo
carne	enfermo
sirvienta	camioneta
niño	pajaro
terremoto	 té 
átomo	zanahoria
inteligente	vino
verdura	camisa
fiestas	ojo
beso	jardin
mosquito	camisa
cantar	verde
tela	cena
barriga	pescado
poeta	cuello
 césped	pimienta
verja	flor
ganado	globo
redondo	ruido
unir	vaca 
hoja	gas
autopista	cigarrillo
palacio	diamante
herramienta	ducha
garganta	 periódico
nido	escritor
nicotina	carretera
coro	arbol
cachorro	oro
monja	arbol
 cámara 	tierra
cuerda	anillo
 bolígrafo	animal
 águila	barco
 molécula 	 oír
centro	 sartén
señora	centavo
pesca	pesado
centro comercial	arroyo
sofá 	manzana
pasos	enfermera
instructor	camisa
polvo	pajaro
cielo	coger
flecha	 océano
diamante	bandera
 simio	 río
labios	tigre
almuerzo	zapato 
tortuga	montaña
platillo	flor
 huracán 	desierto
imprimir	pararse
dibujo	piano
cielo raso	granja
 césped	cuchillo
bicho	vaca
enojado	sol
soldado	señora
ceremonia	amigo
cuchillo	luna
visión	boda
enemigo	boca
dolar	alto
alas	arena
calendario	dulce
cinto	sacerdote
 fútbol 	barco
rastro	dedo
enemigo	huevos
tostado	tarjeta
alarma	manzana
estadio	naranja
tumba	pan
bistec	compras
miel	tierra
barco	boca
bestia	barco
delgado	 víbora
cultivo	padres
 avión	res
huerto	carne
sábana	policía
labio 	camisa
lente	anillo
arroyo	mono
terciopelo	pegar
dentista	tren
tenis	oveja
lanzar	lluvia
jamon	boleto
estatua	inodoro
deporte	desayuno
asustado	cerveza
llorar	cuchillo
mariscos	boda
 polución 	pan
guardián	gordo
rama	alto
banderola	anillo
altura	madera
oveja	hoyo
naranja	mojado
acre	avión
mariscos	bebida
perla	leche
escalar	arena
espada	piso
pie 	chaqueta
lirio	cadena
entrada	constuir
esconder	 sartén
robar	planta
gordo	césped
pulgada	tratar
blusa	nieve
espada	maestro
ropa sucia	movimiento
arteria	bañera
corto	fruta
explotar	flor
ron	multitud
silencioso	naranja
cortina	res
visita	diente 
mancha	pelota
puntada	color
toalla	motor
tapete	jefe
chocolate	biología 
coro	caballo
paloma	lluvia
orquesta	ensalada
grano	armario
tallo	dulce
perfume	pistola
brocha	votar
 tubería 	atardecer
 halcón 	mapa
mezclilla	libra
tela	diente 
navegar	gas
bota	caballo
cereza	conejo
clavos	vereda
suéter	camarón
coca	basura
cemento	mantequilla
monasterio	bebida
ancla	fuego
veneno	hierro
trompeta	policía
tomato	alquilar
compañero	desayuno
 víbora	basura
borde	vara
órgano	manguera
herida	luna
vara	tarta
cebolla	borracho
camarón	recta
león 	beso
dársena	pan
barril	bebida
tostado	científico
paja	huevo 
moneda de diez centavos	doctor
corto	brocha
separado	 huracán
arrecife	caballo
escalera	fruta
onza	pantaloes
 póquer	animal
rostizar	reloj
cereza	 carbón 
monje	papa
cocido	ventana
papas fritas	tierra
tirar	cerveza
cobre	fruta
carroza	pajaro
bastón	empleador
alguacil	diamante
garrapata	doctor
bailarín	barco
 química	 sótano
granero	circulo
rabino	chocolate
alambre	seda
mosquito	cuerda
bajo	estómago
tornado	pantaloes
donante	viento
policía 	instrumento
tos 	caballo
pulgar	vaca
grueso	columpio
fiebre	caballo
pastilla	cigarrillo
ola	estéreo
pulgar	brincar
 bañera	martillo
limón	soldado
cuerda	premio
sinfonía	tarta
zanahoria	camisa
 término	zapato
mascara	neblina
harina	hoyo
cardenal	sabor
estómago	lavar
escarcha	maceta
granero	cuchillo
luna	enojado
madera	peso
 sofá	mono
apuesta	pie
muslo	pajao
limón	 reír
toro	delgado
ballet	fumar
zanahorias	bandera
insecto	dulce
pena	 césped
altura	centavos
abrigo	dedo
rastrillo	pan
bicicleta	cobija
granito	separado
brocha	 oración
ligero	juez
horno	cargar
dia de campo	techo
masa	cadera
triangulo	verdura
pista	cerveza
oponente	gordo
galleta	sirvienta
rugoso	refresco
joya	policía
lana	limpio
sabor	pajaro
 botón	abrazo
deslizar	premio
bodega	ciencia
huevos	neblina
escoba	metal
anillo	aburrido
garganta	estaño 
puro	bailar
codo	enfermo
cantina	matrimonio
cerdo	triste
refresco	inclinarse
atlas	pajaro
manguera	bicho
posada	brazo
gripe	jalar
 zoológico 	lápiz 
limpio	 matemáticas
raso	 teléfono 
amargo	flor
escaleras	héroe
puñetazo	huevo 
zanahoria	suave
rastrillo	fruta
guitarra	mordida
vodka	mantequilla
sombra	sacerdote
tortuga	vacaciones
champaña	brillante
estufa	cigarrillo
vainilla	cigarrillo
falda	martillo
 uapití	atar 
elevador	columpio
dedos	tonot
pato	cerca
balanza	boca
pudín	sacerdote
barrera	rompecabezas
cuello	beso
mena	huevos
silencioso	oler
póquer	dientes
canela	policía
cuervo	pierna
cavar	pastel
 ángulo	grueso
chiste	lima
hiedra	piedras
pulmones	enemigo
cintura	dos
perdón	teléfono
horno	remolque
bebida	monje
rabia	barco
 rubí 	sombrero
estampilla	cerradura
piel	nadar
dentista	pulga
quemar	dividir
pintar	veneno
tienda	gemelo
ancla	maíz
caballero	seco
camada	papa
ecuación	sucio
ganso	tomate
calabaza	vibora
gema	castillo
vaquero	enfermo
aburrido	fruta
aguja	aluminio
 cajón 	bicho
ajo	filoso
montar	ruidoso
alerta	cabaña
encendedor	medicina
verdura	espada
juvenil	sopa
falda	delgado
bulto	salario
hervidor	vaca
cavar	bestia
oler	vaquero
liston	coca
saltar	verduras
amargo	brocha
corredor	llorar
silbar	pierna
cerradura	cohete
puro	cocinero
 mandíbula 	astilla
explotar	papa
avispa	cocinero
pelar	pan
volar	comoda
acero	barrer
prisionero	ginebra
patos	verdura
barriga	accidente
infeliz	cerdo
camello	tormenta
heno	mojado
inteligente	hueso
pintor	pan
calabaza	abeja
centavo	licor
hambre	pecho
carga	pértiga
whisky	caramelo 
casco	diamante
 galón	volar
oreja	 átomo
hoyo	cordero
arroyo	tienda
cumpleaños	cura
florecer	refresco
trigo	sepultura
rebotar	frio
prestar	carne
navío	chiste
derramar	pan
divorcio	diente
balde	vena
violación 	cerdo
ruina	botón
 tararear	pantano
mortífero	pastel
químico	cerveza
dia de campo	funeral
labio	aveja
calabaza	mojado
maleza	pie
marinero	bañera
alcohol	pajaro
par	respirar
flotar	centavo
pretender	caballo
parque infantil	uña
repiquetear	volar
 búho 	cocinero
tortmenta	agrio
coñac	fumar
canasta	uña
alergia	cantar
nube	fruta
zumbido	profundo
escudo	tela
bandido	chocolate
entrar	ajustado
duna	pajaro
mayordomo	liso
aguja	motel
horneado	basura
hogaza	naranja
aflojar	leche
saludo	conejo
doble	 graduación
talón 	esconder
lino	caballo
saltar	océano
arrecife	velocidad
tambor	 pértiga
lagartija	sucio
movimiento	conejo
veneno	tarta
alas	laberinto
placa	 huésped
jinete	sábanas
brincar	mariposa
deterioro	pesca
banquero	estufa
pantano	diente
pascua	verduras
zanahorias	estanque
